,Date,negative_vader,neutral_vader,positive_vader,negative,neutral,positive,title_vader_sentiment,headline_vader_sentiment,finbert_numeric,average_title_vader_10periods,average_headline_vader_10periods,average_finbert_10periods
0,2012-07-01,1,0,0,0,1,0,0.0,-0.3612,0.0,,,
1,2012-07-08,3,0,0,3,0,0,-0.73285,-0.686475,-1.0,,,
2,2012-07-15,0,1,0,0,1,0,-0.5719,0.0,0.0,,,
3,2012-07-22,2,1,1,0,4,0,0.2879,-0.098,0.0,,,
4,2012-07-29,3,2,0,2,3,0,-0.04206249999999999,-0.22688750000000002,-0.375,,,
5,2012-08-05,1,0,1,1,0,1,-0.24695,0.044399999999999995,0.0,,,
6,2012-08-12,0,1,0,0,1,0,0.34,0.0,0.0,,,
7,2012-08-19,1,0,2,0,2,1,-0.17343333333333333,0.09620000000000001,0.3333333333333333,,,
8,2012-08-26,3,0,0,2,0,1,-0.6781,-0.7026,-0.3333333333333333,,,
9,2012-09-02,0,0,1,0,0,1,0.0516,0.4019,1.0,-0.17657958333333332,-0.15326625,-0.0375
10,2012-09-09,2,0,4,1,4,1,0.0625,0.1375375,0.0,-0.1703295833333333,-0.1033925,-0.0375
11,2012-09-16,1,0,3,4,0,0,-0.06351666666666667,0.31588333333333335,-1.0,-0.10339625,-0.0031566666666666744,-0.0375
12,2012-09-23,1,0,1,0,1,1,-0.05135,0.1537,0.5,-0.051341250000000005,0.012213333333333326,0.0125
13,2012-10-07,1,2,0,0,3,0,-0.085,-0.0129,0.0,-0.08863125000000001,0.020723333333333326,0.0125
14,2012-10-14,3,2,0,3,2,0,0.0051166666666666765,-0.42665,-0.5,-0.08391333333333334,0.0007470833333333316,0.0
15,2012-10-21,0,0,1,0,1,0,0.0,0.0258,0.0,-0.05921833333333333,-0.0011129166666666679,0.0
16,2012-10-28,0,0,3,1,1,1,0.3231,0.6376333333333334,0.0,-0.06090833333333334,0.06265041666666668,0.0
17,2012-11-04,1,0,6,3,3,1,0.20929166666666665,0.451125,-0.4583333333333333,-0.022635833333333338,0.09814291666666668,-0.07916666666666666
18,2012-11-11,1,2,5,4,1,3,0.09961250000000002,0.3693875,-0.1875,0.05513541666666667,0.20534166666666667,-0.06458333333333333
19,2012-11-18,3,1,5,2,7,0,-0.019793333333333333,0.035926666666666676,-0.13333333333333333,0.047996083333333335,0.16874433333333333,-0.17791666666666667
20,2012-11-25,5,1,7,3,8,2,-0.01294642857142858,-0.05056785714285715,-0.20238095238095238,0.04045144047619047,0.14993379761904763,-0.19815476190476192
21,2012-12-02,3,0,4,2,3,2,0.18920625,0.06771875,0.1875,0.06572373214285714,0.12511733928571428,-0.0794047619047619
22,2012-12-09,2,1,3,3,3,0,-0.006461111111111112,-0.06416666666666666,-0.38888888888888884,0.07021262103174603,0.10333067261904763,-0.16829365079365077
23,2012-12-16,1,1,2,1,3,0,0.07543333333333334,-0.05739999999999997,-0.3333333333333333,0.08625595436507937,0.09888067261904762,-0.20162698412698413
24,2012-12-23,2,3,4,3,6,0,0.011146666666666668,0.14439000000000002,-0.4,0.08685895436507936,0.15598467261904764,-0.19162698412698412
25,2012-12-30,0,0,1,0,1,0,0.0,0.7184,0.0,0.08685895436507936,0.22524467261904765,-0.19162698412698412
26,2013-01-06,1,1,2,1,3,0,-0.07992499999999998,-0.08295,-0.25,0.04655645436507937,0.1531863392857143,-0.2166269841269841
27,2013-01-13,2,0,4,2,3,1,-0.0512375,0.1259125,-0.25,0.0205035376984127,0.12066508928571432,-0.1957936507936508
28,2013-01-20,2,1,1,2,2,0,-0.18076666666666666,-0.12983333333333333,-0.3333333333333333,-0.007534378968253966,0.07074300595238096,-0.2103769841269841
29,2013-01-27,1,0,3,2,2,0,-0.12763333333333335,0.11169999999999998,-0.5,-0.018318378968253966,0.0783203392857143,-0.2470436507936508
30,2013-02-03,3,2,4,2,6,1,-0.013606666666666664,0.06121000000000001,-0.26666666666666666,-0.018384402777777774,0.08949812500000001,-0.2534722222222222
31,2013-02-10,2,1,4,1,4,2,-0.1327,0.11105833333333336,0.0,-0.05057502777777778,0.09383208333333334,-0.2722222222222222
32,2013-02-17,1,1,4,1,3,2,0.0045375,0.2064375,0.25,-0.04947516666666667,0.12089250000000003,-0.20833333333333331
33,2013-02-24,1,0,5,3,3,0,0.1378125,0.5503625,-0.5,-0.04323724999999999,0.18166875,-0.225
34,2013-03-03,4,0,3,4,2,1,-0.23928000000000002,-0.37077333333333334,-0.4666666666666666,-0.06827991666666666,0.13015241666666666,-0.23166666666666663
35,2013-03-10,2,2,8,6,4,2,-0.008333333333333331,0.15941333333333332,-0.26666666666666666,-0.06911324999999999,0.07425375000000001,-0.2583333333333333
36,2013-03-17,2,1,3,3,2,1,0.114375,0.04958750000000001,-0.375,-0.04968325,0.0875075,-0.2708333333333333
37,2013-03-24,0,0,4,0,3,1,-0.0903,0.38107500000000005,0.25,-0.0535895,0.11302375000000002,-0.2208333333333333
38,2013-03-31,2,1,4,2,3,2,-0.030872222222222218,0.16795000000000002,0.0,-0.03860005555555556,0.14280208333333333,-0.1875
39,2013-04-07,0,0,7,0,4,3,0.23258333333333336,0.73175,0.4583333333333333,-0.0025783888888888883,0.20480708333333336,-0.09166666666666665
40,2013-04-14,2,1,2,3,1,1,-0.11802222222222221,0.1799777777777778,-0.2222222222222222,-0.013019944444444442,0.21668386111111113,-0.08722222222222223
41,2013-04-21,4,0,8,4,7,1,-0.086905,-0.016460000000000002,-0.21666666666666665,-0.008440444444444441,0.2039320277777778,-0.10888888888888888
