,Date,negative_vader,neutral_vader,positive_vader,negative,neutral,positive,title_vader_sentiment,headline_vader_sentiment,finbert_numeric,average_title_vader_10periods,average_headline_vader_10periods,average_finbert_10periods
0,2012-07-01,1,0,0,0,1,0,0.0,-0.3612,0.0,,,
1,2012-07-08,3,0,0,0,2,1,-0.7405999999999999,-0.6473249999999999,0.5,,,
2,2012-07-15,0,1,0,0,1,0,-0.5719,0.0,0.0,,,
3,2012-07-22,1,1,2,0,4,0,0.31545,0.13415,0.0,,,
4,2012-07-29,3,2,0,1,4,0,-0.053425000000000014,-0.22688750000000002,-0.125,,,
5,2012-08-05,1,0,1,1,1,0,-0.24695,0.044399999999999995,-0.5,,,
6,2012-08-12,0,1,0,0,1,0,0.34,0.0,0.0,,,
7,2012-08-19,1,0,2,0,3,0,-0.17343333333333333,0.09620000000000001,0.0,,,
8,2012-08-26,3,0,0,3,0,0,-0.6811333333333334,-0.7162666666666667,-1.0,,,
9,2012-09-02,0,0,1,0,1,0,0.1779,0.4019,0.0,-0.16340916666666666,-0.12750291666666666,-0.1125
10,2012-09-09,2,0,4,0,6,0,0.0683,0.1413125,0.0,-0.15657916666666666,-0.07725166666666666,-0.1125
11,2012-09-16,1,0,3,3,0,1,-0.06351666666666667,0.32421666666666665,-0.6666666666666666,-0.08887083333333333,0.019902499999999997,-0.22916666666666666
12,2012-09-23,1,0,1,1,1,0,-0.05135,0.1537,-0.5,-0.03681583333333333,0.0352725,-0.2791666666666667
13,2012-10-07,1,2,0,0,3,0,-0.09339999999999998,-0.0129,0.0,-0.07770083333333334,0.020567499999999996,-0.2791666666666667
14,2012-10-14,3,2,0,2,3,0,0.0051166666666666765,-0.39398333333333335,-0.3333333333333333,-0.07184666666666667,0.003857916666666661,-0.3
15,2012-10-21,1,0,0,0,1,0,0.0,-0.2263,0.0,-0.04715166666666666,-0.023212083333333335,-0.25
16,2012-10-28,0,0,3,0,2,1,0.3051333333333333,0.6321333333333333,0.3333333333333333,-0.05063833333333334,0.04000125,-0.21666666666666665
17,2012-11-04,1,0,6,0,4,3,0.22456666666666664,0.529675,0.4583333333333333,-0.010838333333333339,0.08334875,-0.17083333333333334
18,2012-11-11,1,2,5,0,6,2,0.09961250000000002,0.46857499999999996,0.375,0.06723625,0.20183291666666667,-0.03333333333333333
19,2012-11-18,3,1,5,0,9,0,-0.019793333333333333,0.07655666666666666,0.0,0.047466916666666664,0.16929858333333334,-0.03333333333333333
20,2012-11-25,3,1,9,2,11,0,-0.02059285714285716,0.08970595238095237,-0.19047619047619047,0.038577630952380954,0.16413792857142856,-0.052380952380952375
21,2012-12-02,2,0,5,1,5,1,0.19500625,0.09160000000000001,0.1875,0.0644299226190476,0.14087626190476193,0.033035714285714286
22,2012-12-09,2,1,3,0,6,0,0.012155555555555558,0.0026388888888888885,0.0,0.07078047817460317,0.12577015079365078,0.08303571428571428
23,2012-12-16,1,0,3,0,4,0,0.07543333333333334,0.04423333333333335,0.0,0.0876638115079365,0.13148348412698413,0.08303571428571428
24,2012-12-23,2,3,4,0,7,2,0.011146666666666668,0.1452,0.2,0.0882668115079365,0.18540181746031748,0.1363690476190476
25,2012-12-30,0,0,1,0,1,0,0.0,0.7184,0.0,0.0882668115079365,0.2798718174603175,0.1363690476190476
26,2013-01-06,1,1,2,0,4,0,-0.07992499999999998,-0.12905,0.0,0.049760978174603177,0.20375348412698419,0.10303571428571427
27,2013-01-13,2,0,4,0,5,1,-0.0512375,0.16566250000000002,0.125,0.02218056150793651,0.16735223412698416,0.06970238095238095
28,2013-01-20,2,1,1,0,4,0,-0.18076666666666666,-0.13236666666666666,0.0,-0.005857355158730157,0.10725806746031748,0.032202380952380955
29,2013-01-27,1,0,3,0,3,1,-0.14353333333333332,0.13501666666666667,0.3333333333333333,-0.018231355158730155,0.1131040674603175,0.06553571428571428
30,2013-02-03,3,2,4,0,9,0,-0.012346666666666664,0.06633,0.0,-0.017406736111111105,0.11076647222222227,0.08458333333333333
31,2013-02-10,2,0,5,0,7,0,-0.1327,0.2271416666666667,0.0,-0.05017736111111111,0.12432063888888892,0.06583333333333333
32,2013-02-17,1,0,5,0,6,0,0.0,0.29725,0.0,-0.05139291666666666,0.15378175000000002,0.06583333333333333
33,2013-02-24,1,0,5,1,3,2,0.1378125,0.4529625,0.25,-0.045155,0.1946546666666667,0.09083333333333334
34,2013-03-03,3,0,4,1,5,1,-0.20504666666666668,-0.25157999999999997,0.0,-0.06677433333333334,0.1549766666666667,0.07083333333333333
35,2013-03-10,3,1,8,1,9,2,-0.014658333333333334,0.24822500000000003,0.08333333333333333,-0.06824016666666667,0.10795916666666669,0.07916666666666666
36,2013-03-17,2,1,3,0,6,0,0.116125,0.05293750000000001,0.0,-0.048635166666666674,0.1261579166666667,0.07916666666666668
37,2013-03-24,0,0,4,0,3,1,-0.0903,0.407875,0.25,-0.05254141666666666,0.1503791666666667,0.09166666666666667
38,2013-03-31,2,1,4,0,6,1,0.0017777777777777785,0.13022777777777778,0.1111111111111111,-0.034286972222222226,0.17663861111111115,0.10277777777777777
39,2013-04-07,0,0,7,0,5,2,0.2771458333333333,0.7008458333333334,0.3333333333333333,0.0077809444444444376,0.23322152777777783,0.10277777777777777
40,2013-04-14,3,1,1,1,3,1,-0.11802222222222221,-0.05462222222222223,0.22222222222222224,-0.0027866111111111173,0.2211263055555556,0.125
41,2013-04-21,3,0,9,1,9,2,-0.041725,0.16700166666666666,0.0,0.006310888888888884,0.21511230555555558,0.125
42,2013-04-28,2,2,1,1,3,1,0.32305,0.04112500000000002,0.08333333333333334,0.03861588888888888,0.1894998055555556,0.13333333333333333
43,2013-05-05,0,3,5,0,7,1,-0.14207999999999998,0.35224,0.1,0.010626638888888883,0.17942755555555562,0.11833333333333333
44,2013-05-12,3,0,0,1,2,0,-0.132475,-0.497425,-0.25,0.017883805555555556,0.1548430555555556,0.09333333333333334
45,2013-05-19,2,1,4,0,7,0,0.190975,0.18508750000000002,0.0,0.038447138888888885,0.1485293055555556,0.08499999999999999
46,2013-05-26,2,2,2,1,5,0,0.0618625,0.1304875,-0.125,0.033020888888888884,0.15628430555555559,0.0725
47,2013-06-02,4,1,2,0,7,0,-0.03844999999999999,-0.2116583333333333,0.0,0.038205888888888886,0.09433097222222227,0.0475
