,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Title,Link,Headline,Article,Source
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-01-18,ECP’s key focus areas from 2024 to 2026,https://hydrocarbonscolombia.com/article/ecps-key-focus-areas-from-2024-to-2026/,"In its recently presented investment plan, Ecopetrol (NYSE: EC) outlines its commitment to maintaining an oil and gas production range between 725mboed and 730mboed for 2024 to 2026.","In its recently presented investment plan, Ecopetrol (NYSE: EC) outlines its commitment to maintaining an oil and gas production range between 725mboed and 730mboed for 2024 to 2026.",Hydrocarbons
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2024-01-18,Completion of Cupiagua plant maintenance,https://hydrocarbonscolombia.com/article/completion-of-cupiagua-plant-maintenance/,"Ecopetrol (NYSE: EC) reported the successful completion of maintenance activities at the Cupiagua Gas Plant in Aguazul, Casanare, a day ahead of schedule.","Ecopetrol (NYSE: EC) reported the successful completion of maintenance activities at the Cupiagua Gas Plant in Aguazul, Casanare, a day ahead of schedule.",Hydrocarbons
2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2024-01-17,ECP’s statute reform,https://hydrocarbonscolombia.com/article/19678/,"The Extraordinary Assembly has approved a 30% representation of women on the new Board of Directors (3 out of 9 members), along with relaxed requirements for those aspiring to join this body.","The Extraordinary Assembly has approved a 30% representation of women on the new Board of Directors (3 out of 9 members), along with relaxed requirements for those aspiring to join this body.",Hydrocarbons
3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2024-01-16,Expanding gas access,https://hydrocarbonscolombia.com/article/expanding-gas-access/,"In the ever-evolving landscape of energy transition, Colombia is making significant strides in the mass adoption of natural gas.","In the ever-evolving landscape of energy transition, Colombia is making significant strides in the mass adoption of natural gas.",Hydrocarbons
4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2024-01-16,Ocensa and communities reach agreement,https://hydrocarbonscolombia.com/article/ocensa-and-communities-reach-agreement/,"In recent days, Ocensa raised concerns about a potential rupture in the oil pipeline at kilometer 235 due to pipe damage and the inability to perform maintenance due to community blockades.","In recent days, Ocensa raised concerns about a potential rupture in the oil pipeline at kilometer 235 due to pipe damage and the inability to perform maintenance due to community blockades.",Hydrocarbons
5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2024-01-16,JEP’s acceptance of Ex-ECP security official,https://hydrocarbonscolombia.com/article/jeps-acceptance-of-ex-ecp-security-official/,"In a surprising move, the Jurisdicción Especial para la Paz (JEP), or Special Jurisdiction for Peace, accepted José Eduardo González Sánchez, a former captain in the National Army who served as the deputy head of security for Ecopetrol (NYSE: EC), into its jurisdiction.","In a surprising move, the Jurisdicción Especial para la Paz (JEP), or Special Jurisdiction for Peace, accepted José Eduardo González Sánchez, a former captain in the National Army who served as the deputy head of security for Ecopetrol (NYSE: EC), into its jurisdiction.",Hydrocarbons
6,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,2024-01-15,ECP and sustainability practices,https://hydrocarbonscolombia.com/article/ecp-and-sustainability-practices/,"In 2023, Ecopetrol secured its position as one of the top three companies in the oil and gas sector for sustainability practices, as per the Dow Jones Sustainability Index (DJSI) results.","In 2023, Ecopetrol secured its position as one of the top three companies in the oil and gas sector for sustainability practices, as per the Dow Jones Sustainability Index (DJSI) results.",Hydrocarbons
7,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,2024-01-15,The Comprehensive Energy Company of Colombia,https://hydrocarbonscolombia.com/article/the-comprehensive-energy-company-of-colombia/,"Whatever Gustavo Petro’s strengths as a politician might be (and we will leave that for another day), I would not hire him as a marketer. Who came up with “Empresa Integral de Energía de Colombia” as the new name for Ecopetrol? And what will it mean for the Colombian industry?","Whatever Gustavo Petro’s strengths as a politician might be (and we will leave that for another day), I would not hire him as a marketer. Who came up with “Empresa Integral de Energía de Colombia” as the new name for Ecopetrol? And what will it mean for the Colombian industry?",Hydrocarbons
8,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,2024-01-12,Colombia’s gas deficit,https://hydrocarbonscolombia.com/article/colombias-gas-deficit/,Colombia is grappling with a looming challenge in terms of natural gas supply—a deficit that could become a reality as early as next year.,Colombia is grappling with a looming challenge in terms of natural gas supply—a deficit that could become a reality as early as next year.,Hydrocarbons
9,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,2024-01-12,Oil industry shrinking,https://hydrocarbonscolombia.com/article/oil-industry-shrinking/,"The Colombian oil industry has long stood as a significant contributor to the country’s economy, accounting for 1.3% of the Gross Domestic Product (GDP) and fostering around 200,000 direct jobs throughout the entire value chain, as estimated by Campetrol.","The Colombian oil industry has long stood as a significant contributor to the country’s economy, accounting for 1.3% of the Gross Domestic Product (GDP) and fostering around 200,000 direct jobs throughout the entire value chain, as estimated by Campetrol.",Hydrocarbons
