Date,Title,Link,Headline,Article,Source
2024-03-11,Ecopetrol published the list of candidates to join the new Board of Directors,https://www.larepublica.co/economia/accionistas-de-ecopetrol-postulan-a-juan-jose-echavarria-soto-para-la-junta-directiva-3819267,The nominees will be put to a vote at the next Shareholders' Meeting to be held on Friday of next week.,"Los postulados serán sometidos a votación en la próxima Asamblea de Accionistas que se realizará el viernes de la próxima semana  Ecopetrol publicó en su página web el listado oficial con dos nuevos nombres de los candidatos para integrar la nueva Junta Directiva de la estatal petrolera que se presentará en la Asamblea General de Accionistas que se realizará el viernes de la próxima semana. Uno de ellos es el de Álvaro Torres Macías, un ingeniero eléctrico cercano al presidente de la empresa Ricardo Roa. Torres fue postulado por los representantes de los departamentos productores de hidrocarburos en los que tiene presencia Ecopetrol. Gráfico LR Torres Macías es ingeniero electricista en la Universidad Industrial de Santander, tiene títulos de doctor en Ingeniería de Energía Eléctrica, Maestría en Ciencias en Ingeniería de Computadoras y Sistemas en el Instituto Politécnico Rensselaer en EE.UU. también es Especialista en Sistemas de Transmisión de Energía Eléctrica de la Ecole Nationale de Electricité et Mecanique de Francia Tiene más de 40 años de experiencia en el desarrollo del sector de infraestructura y energía en Colombia y la región. Su experiencia se ha orientado a la gestión de portafolios de inversión, planeación estratégica, ingeniería y construcción y el desarrollo de negocios de BOOT e inversión en proyectos de infraestructura y energía. El segundo postulado es el exgerente del Banco de la República, Juan José Echavarría, quien ya hace parte de la Junta Directiva y sería confirmado. Echavarría fue postulado por los accionistas minoritarios con mayor participación accionaria de Ecopetrol desde marzo de 2023.  Es ingeniero administrativo de la Escuela de Minas, Universidad Nacional de Colombia, estudiante especial en economía de la Universidad de Harvard, cursó una maestría en economía en la Universidad de Boston y obtuvo un doctorado en economía en la Universidad de Oxford. Actualmente es investigador asociado de Fedesarrollo y se dedica a la docencia universitaria. Anteriormente fue gerente general y miembro de la Junta Directiva del Banco de la República, consultor del Banco de Desarrollo de América Latina (CAF), Banco Interamericano de Desarrollo (BID), el Ministerio de Comercio y Finagro, director de la Misión para la Reestructuración del Café en Colombia, entre otros. Torres y Echavarría estarán en remplazo de Ignacio Pombo Villar, quien fue postulado inicialmente, pero tendría conflictos de intereses para integrar la Junta, y Esteban Piedrahita, quien ya era directivo de Ecopetrol y se saldría de la plancha.  La Junta de la estatal petrolera está integrada por nueve miembros principales sin suplentes, quienes son elegidos por cada año en la Asamblea. Los miembros de la Junta estará conformada por:  Ángela María Robledo (Independiente) Lilia Tatiana Roa (No independiente) Edwin Palma (No independiente) Guillermo García Realpe (Independiente) Álvaro Torres Macías (Independiente) Mónica de Greiff (Independiente) Gonzalo Hernández (No independiente) Luis Alberto Zuleta (Independiente) Juan José Echavarría (Independiente)",La República
2024-03-11,Congress will summon the president of Ecopetrol to debate political control the other week,https://www.larepublica.co/economia/congreso-citara-a-debate-de-control-politico-la-otra-semana-a-presidente-de-ecopetrol-3818621,The representative to the Chamber Juan Espinal announced that Ricardo Roa will be summoned to explain the oil company's profits,"El representante a la Cámara Juan Espinal anunció que se citará a Ricardo Roa para que explique las utilidades del petrolera  A través de una carta dirigida a la opinión pública, el representante a la Cámara y vicepresidente segundo de la corporación, Juan Espinal, expresó su preocupación por la caída de las utilidades de Ecopetrol el año pasado y anunció que citará la próxima semana al presidente de la petrolera, Ricardo Roa, para que explique los resultados.  ""Exigir acciones concretas ante la alarmante situación que enfrenta la principal empresa estatal del país"", dijo Juan Espinal, quien solicitó cuentas claras acerca de las utilidades de Ecopetrol. Calificó de alarmante los recientes resultados financieros. ""Una caída de 42% en utilidades en el último trimestre de 2023, con una disminución de ingresos totales de más de $16,4 billones comparado con el año anterior. Esta drástica reducción no solo afecta a Ecopetrol sino que tiene un impacto significativo en la economía nacional, dado que los ingresos de Ecopetrol representan un 9% del PIB del país"", explicó el congresista. ARTÍCULO RELACIONADOLa caída de 8% de los bonos de Ecopetrol presagian una posible crisis en la petroleraTras dicho análisis, exigió al presidente de la compañía, Ricardo Roa que rinda cuentas sobre lo que calificó como una caída estrepitosa y los planes para recuperar a la empresa estatal. ARTÍCULO RELACIONADOEcopetrol entrega hoy sus resultados  financieros en medio de la crisis de Gobierno""Hoy Ecopetrol se tambalea bajo el peso de la incertidumbre y la inseguridad jurídica, reflejo de una gestión que ha permitido que el activismo ideológico se anteponga al indispensable rigor técnico. Las ambiguas posturas del Dr. Ricardo Roa, especialmente en lo referente a la firma de nuevos contratos de exploración de hidrocarburos, han provocado una reacción adversa inmediata en los mercados financieros, erosionando la confianza de inversores nacionales e internacionales"", señaló Espinal y agregó que la consolidación de su Junta Directiva ha estado marcada por un distanciamiento de los movimientos políticos. En medio del documento dirigido a Roa, el Representante también se refirió a la imagen de Ecopetrol enlodada por presuntas irregularidades electorales. Finalmente, y luego de anunciar un debate de Control Político, fue más allá pidiendo su renuncia. ""Señor Roa, si su trabajo deja en evidencia falta de gerencia, por el bien del país lo mejor es que renuncie al cargo, para que no siga afectando a la empresa más importante del país"".",La República
2024-03-11,"Ecopetrol, Sura and Argos remain the companies with the highest income in 2023",https://www.larepublica.co/empresas/ecopetrol-sura-y-argos-se-mantienen-como-las-empresas-de-los-mayores-ingresos-3817596,"Although Ecopetrol is the company that reported the highest operating income in 2023, it did not have growth in this area, with a drop of 10.2%","Aunque Ecopetrol es la compañía que reportó mayores ingresos operacionales en 2023, no tuvo crecimiento en este rubro, con una caída de 10,2%  En las últimas dos semanas más empresas del país han revelado sus resultados consolidados de 2023. Entre las organizaciones que han revelado sus estados financieros están Corficolombiana, la Bolsa Mercantil y Grupo Aval.  ARTÍCULO RELACIONADOEcopetrol importará 60 millones de pies cúbicos de gas que llegarán desde VenezuelaEcopetrol se mantiene como la empresa con más ingresos del país al alcanzar $143,1 billones durante el año pasado. Continúa Grupo Sura con $35 billones, seguido de Grupo Argos, que reportó ingresos operacionales por $22,6 billones.Asimismo, Grupo Éxito y Nutresa siguen en el listado, al revelar ingresos por $21,1 y $18,9 billones, respectivamente. LOS CONTRASTESMaría Lorena Gutiérrez Presidenta de Corficolombiana“En 2023, más de 50 millones de personas transitaron por nuestras carreteras, 6,3 millones de hogares aprovecharon el servicio de gas natural que les proveímos”.María Inés AgudeloPresidenta de la Bolsa Mercantil de Colombia“El año pasado fue una excelente anualidad en materia de resultados financieros y representó un punto de inflexión en la ruta estratégica para la diversificación de nuestros ingresos”. ARTÍCULO RELACIONADOCorficolombiana invertirá al menos $1,9 billones durante 2024 en diferentes sectoresSobre estos nuevos resultados, Corficolombiana aseguró la semana pasada que generó $13,4 billones, 2,53% más que en 2022. Reportaron que $5,6 billones se distribuyeron en 17.000 proveedores; $900.000 millones a 26.500 trabajadores; y $1,8 billones al Gobierno Nacional por medio de impuestos y contribuciones. La Bolsa Mercantil de Colombia reportó ingresos por $90.050 millones durante 2023, lo que significó un aumento de 13%. Sus utilidades alcanzaron $26.642 millones, un incremento de 20%. La empresa dijo que el incremento se dio en medio de un panorama de control de gastos operativos y una reducción moderada de la inflación. El panorama de crecimiento no es el mismo para los bancos del país, pues las utilidades de los establecimientos cayeron: ocho de 28 entidades quedaron con pérdidas. Grupo Aval, que tiene a Banco de Bogotá, Occidente, Popular y AV Villas, cayó -70%, pues sus ganancias llegaron a $739.000 millones. La caída se dio en medio de un año de desaceleración económica y altas tasas de interés. Además, se trata del segundo descenso más pronunciado después de Davivienda, entidad que tuvo una variación en utilidades de -118%. El sector de la construcción también se ha visto golpeado por el contexto macroeconómico. Construcciones El Cóndor reportó ingresos operacionales por $874.820 millones el año pasado, lo que significó una disminución de 0,2% respecto a 2022. Se dejaron de percibir $1.921 millones. Otra de las empresas que entregó sus resultados en el último mes fue Pei Asset Management, que cerró el año pasado en $703.000 millones en términos de ingresos. Las que más han crecido Hasta el momento Enel y Grupo Sura se mantienen como las compañías con los ingresos operacionales con más crecimiento, pues reportaron un alza de 36,9% y 21,7%, respectivamente. Ecopetrol, aunque es la empresa con los mayores ingresos del país ($143,1 billones), tuvo una caída de -10,2% en ingresos. Tecnoglass ha sido la tercera de mayor crecimiento, pues obtuvo una variación de 16%, con $3,6 billones. Continúa Pei Asset Management, empresa que obtuvo un crecimiento total de 15,3%. El listado por crecimiento sigue con Bolsa Mercantil (13%); Celsia (12,7%); Nutresa (11%); Cemargos (8,5%); Grupo Argos (6,1%); ISA (6%); ETB (5%), Corficolombiana (2,5%) y Grupo Éxito (2,4%). Mineros, por otro lado, reportó una caída en ingresos de -0,22%.",La República
2024-03-09,Inconvenient import,https://www.larepublica.co/analisis/jose-david-name-cardozo-507206/importacion-inconveniente-3817788,,"La confirmación de los planes de Ecopetrol de importar gas desde Venezuela el próximo año, resucitó el debate que se había dado unos meses atrás cuando se conocieron las intenciones del Gobierno Nacional de hacer negocios con la estatal venezolana Pdvsa. Y no es para menos, la incertidumbre y las múltiples preocupaciones que suscita dicho anuncio tienen su génesis en la pérdida de la seguridad energética y el incremento en los precios del combustible. Resulta contradictorio que después de los extraordinarios hallazgos de gas natural, presentados durante los últimos años en el mar Caribe, que sugieren un mejor panorama sobre las perspectivas de las reservas en el territorio nacional, en vez de buscar estrategias para promover y avanzar en la producción local, el Gobierno plantee como primera opción, ante un eventual déficit, recurrir a la importación de este recurso. La implicación económica que traería consigo la compra de este hidrocarburo en el exterior, además de generar un nuevo malestar social por los incrementos en las facturas de energía y gas, pondría en entredicho los planes de transformación energética del Gobierno, que tendrían un gran retroceso por la pérdida de la confiabilidad en el actual sistema. Además del costo económico que exige la reparación del gasoducto binacional de 224 kilómetros, que no opera desde 2015, que probablemente sería cargado a los usuarios. Al no crecer al mismo ritmo de la demanda, nos estamos quedando atrás. Según Ecopetrol, Colombia se enfrentará en 2025 a un déficit de gas natural de 131.000 millones BTU/d, una cifra preocupante que exige agilizar los proyectos que se encuentran estancados, así como el fortalecimiento del sector, a través de planes de crecimiento, exploración, y explotación costa afuera y en tierra. El ejecutivo debe enfocarse en proponer medidas dirigidas a preservar el autoabastecimiento del país, así como lograr tarifas eficientes para los usuarios, no en promover la importación. No se puede arriesgar lo logrado hasta hoy en la masificación del gas natural en el país, con más de 11 millones de usuarios entre servicios residenciales, comerciales e industriales, los cuales confirman el rol fundamental que está jugando el gas natural en este proceso de transición. Aumentar y asegurar el suministro de gas natural en Colombia en el corto y largo plazo, son acciones claves para garantizar nuestra autosuficiencia energética e ir logrando la sustitución del carbón y otros productos derivados del petróleo, que son altamente contaminantes en la generación de energía y que aumentan nuestra huella de carbono en el mundo. Hay que alejar el riesgo de escasez de gas natural, fortaleciendo la oferta interna. Tenemos los recursos para atender nuestra propia demanda y asegurar el futuro del gas natural en Colombia, pero es necesario concentrar los esfuerzos en el desarrollo de provincias gasíferas en el Caribe colombiano. Para lograr una conversión confiable y sostenible hacia las energías renovables hay que seguir potenciando los recursos de crudo y gas, necesitamos el respaldo de los combustibles para avanzar hacia una transición energética segura, que nos conduzca a la reducción de la pobreza en Colombia.",La República
2024-03-06,Ignacio Pombo Villar was disqualified from joining the Ecopetrol Board,https://www.larepublica.co/economia/ignacio-pombo-villar-inhabilitado-para-formar-plancha-en-junta-directiva-de-ecopetrol-3815866,"Pombo's inability indicates that a new letter of candidates must be sent, because the lines were not met","La inhabilidad de Pombo indica que deberá remitirse una nueva carta de candidatos, debido a que no se cumplieron los renglones  ARTÍCULO RELACIONADOEcopetrol confirmó que empezará a importar gas de Pdvsa a partir del próximo añoEcopetrol afirmó que Ignacio Pombo Villar, nominado por representantes departamentales de productores de hidrocarburos explotados, tiene inhabilidad para participar en la plancha para la nueva Junta Directiva de la petrolera. En una carta enviada por Ecopetrol al Ministerio de Hacienda, indicaron que la plancha propuesta no es ""adecuada ni conveniente para la compañía"". Además, indicaron que Ignacio Villar está inhabilitado de manera constitucional y no puede integrar la junta, por lo cual los integrantes solicitaron remitir nuevamente la plancha de candidatos. En vista de esta situación, la entidad tomó la decisión de devolver la plancha al accionista mayoritario. La razón principal de esta acción es que la plancha no cuenta con los nueve renglones de los candidatos. ARTÍCULO RELACIONADOMorgan Stanley rebajó calificación de Ecopetrol por retos en producción de petróleoLa petrolera advirtió que no cumple con el requisito de tener al menos un candidato que acredite ser experto en temas financieros, de acuerdo con las normas aplicables al mercado de valores de los Estados Unidos.",La República
2024-03-06,Gas is gas to avoid supply failures,https://www.larepublica.co/opinion/editorial/gas-es-gas-para-evitar-fallas-de-suministro-3814983,"Colombia must guarantee consumers full supply of the so-called transition fuel, gas, but it is inconsistent to buy if there are possibilities in the country","Colombia debe garantizar a los consumidores  pleno suministro del llamado combustible de la transición, el gas, pero es incoherente comprar si existen posibilidades en el país    No es un cliché ni nada infundado decir que la matriz de generación eléctrica local es la sexta más limpia del mundo, a la luz de los datos que maneja la Organización para la Cooperación y el Desarrollo Económicos, Ocde. Cerca de 70% de la capacidad instalada es de fuentes renovables de energía eléctrica, en las que se incluye las hídricas, pero tras ese buen hecho, los combustibles fósiles (petróleo, gas y carbón), aún tienen importancia en el mercado, no solo por la dependencia de algunos sectores económicos que buscan bajos precios para poder producir barato y exportar, sino porque el carbón, por ejemplo, es el distribuidor de los precios en el mercado energético. Y lo cierto es que las reservas de todas esas fuentes no renovables se están agotando a pasos agigantados, máxime con la posición ideológica del Gobierno Nacional de frenar las exploraciones con el objetivo de no contribuir al calentamiento global. Es solo mirar los datos de las reservas petroleras y de gas anunciados por Ecopetrol la semana pasada, en el marco de su preparación para la gran asamblea de marzo, y se observará que no hay una política pública clara a la hora de garantizar más gas y petróleo para la próxima década. La Agencia Nacional de Hidrocarburos, ANH, habla de reservas probadas de gas de 2.817 giga pies cúbicos, mientras que la producción comercial anual es de 392, lo que da como resultado unas reservas probadas de siete años con tendencia a la baja; el consumo de gas está aumentando, pero el Gobierno Nacional no hace nada por crecer la exploración y explotación; lo mismo ocurre con el petróleo, en eso ha sido coherente con su pensamiento ideologizado y con las políticas públicas que diseña. Gráfico LR Los ministros de Minas y Energía que han pasado por dicha cartera en esta administración no tienen un discurso claro sobre el gas y petróleo nacionales, al tiempo que anuncian que se va a importar gas de Venezuela, actitud más incoherente aún cuando el calentamiento global es de todos los países; una suerte de “no comprar estupefacientes en la cuadra del barrio, para contrarrestar la drogadicción, pero sí ir a otra ciudad a proveerse”. Más allá de la incoherencia, puede haber una decisión responsable, pues el Gobierno a través de Ecopetrol le comprará el combustible proscrito en Colombia a la vecina Venezuela, bajo el argumento de que primero está el beneficio de los consumidores colombianos, algo así como gas es gas y lo necesitamos. Es un hecho elocuente que la caída de las reservas, pasar de ocho años a siete entre 2021 y 2022, es algo que preocupa en diferentes sectores productivos y académicos, y que ahora hay una realidad de mercado que tratará de solucionarse desde Venezuela, que es uno de los países con mayores reservas en el mundo. Ojalá Ecopetrol logre negociar a buen precio el combustible de la transición energética y las relaciones binacionales empiecen a equilibrarse; no se puede olvidar en ese orden de ideas que la administración castro-chavista está sancionada por varios gobiernos e instituciones internacionales de vigilancia y control, por tanto, Ecopetrol debe ser cuidadosa con esos negocios, así sean necesarios para garantizar el suministro colombiano. No es claro ni coherente el manejo de la política energética colombiana en materia de gas y de petróleo, eso es un hecho, lo importante ahora es no llegar a una situación de desabastecimiento.",La República
2024-03-06,Ecopetrol will import 60 million cubic feet of gas that will arrive from Venezuela,https://www.larepublica.co/economia/ecopetrol-importara-60-millones-de-pies-cubicos-de-gas-que-llegaran-desde-venezuela-3815114,"Ricardo Roa, president of the oil company, points out a 17% deficit in gas demand in Colombia and indicated prompt import","Ricardo Roa, presidente de la petrolera, señala un déficit del 17% en la demanda de gas en Colombia e indicó pronta importación   El presidente de Ecopetrol, Ricardo Roa, anunció que la empresa comenzará a importar gas de la petrolera estatal venezolana Pdvsa a partir del próximo año, ante un déficit de 17% del combustible demandado. ARTÍCULO RELACIONADOEcopetrol confirmó que empezará a importar gas de Pdvsa a partir del próximo añoRoa confirma los planes de Ecopetrol cuatro meses después de la visita del presidente Gustavo Petro al vecino país, en la que inició los acuerdos con el Gobierno de Nicolás Maduro. Pero, en su momento, el plan de importar gas venezolano debía iniciar en diciembre de este año. Según cuentas del presidente de la petrolera, el déficit de gas, en términos concretos, será de entre 160 millones o 170 millones de pies cúbicos por día. En ese sentido, señaló que, hasta ahora, el plan no es importar la totalidad del déficit para el próximo año, sino que serían entre 50 millones o 60 millones de pies cúbicos diarios de gas que entrarían desde Venezuela.  ARTÍCULO RELACIONADOGobierno hizo cambios al borrador de decreto con poderes a Petro en el PresupuestoLuego de la presentación de los resultados de 2023, en los que Ecopetrol reportó una caída en las ganancias de casi la mitad, Ricardo Roa ya se había referido a este tema y señaló que la compañía está realizando una revisión técnica de un gasoducto binacional de 224 kilómetros, que no opera desde 2015. “El contrato con Pdvsa está activo, por lo que permite la posibilidad de importar hasta 200 millones de pies cúbicos diarios de gas. Estamos supervisando la inspección y seguridad de la tubería para que pueda utilizarse en caso de emergencia. Es una de las cuatro o cinco opciones que tenemos para satisfacer la creciente demanda”, dijo Roa en una conferencia sobre los resultados. “Entonces, nosotros sí estamos explorando varias opciones para garantizar el abastecimiento de gas natural. Entre ese abanico de opciones, está importar gas desde Venezuela, no en su totalidad, porque no podemos decir que el 1 de enero vamos a tener 170 millones de pies cúbicos por día a través del gasoducto Antonio Ricaurte”, dijo. LOS CONTRASTESGustavo PetroPresidente de Colombia“Ecopetrol debe pasar cuanto antes a generar energías limpias. Si sigue atado al petróleo, solo verá descender su valor. Esto lo han comprendido todas las petroleras del mundo”. El presidente de Ecopetrol también indicó que Colombia se enfrenta este año a un déficit de gas natural de 31.000 millones de BTU al día, Unidad Térmica Británica, en un escenario de demanda promedio. Se espera que el déficit suba a 131.000 millones BTU/d en 2025 y a entre 150.000 y 200.000 millones en 2026. Agregó que Colombia ya está importando gas por medio de una plataforma de regasificación de gas en Cartagena, en donde entran entre 200 millones y 300 millones de pies cúbicos por día de gas, y esto es entre 20% y 30% de la demanda nacional. Según Ecopetrol, los costos que se están pagando por estas importaciones varían entre US$17 y US$19 el millón de BTU, cuando los precios normales en el mercado llegan a US$6 o US$7 por millón de BTU. ARTÍCULO RELACIONADOEl Dane reveló que la economía colombiana creció solo 0,6% durante el año pasadoDe acuerdo con recientes cifras del Dane, las importaciones de combustibles y aceites minerales y sus productos desde Venezuela crecieron 549% el año pasado, pasando de US$1,22 millones en 2022 a US$7,92 millones en 2023. Aunque no se especifica si dentro de estos combustibles ya hay gas venezolano. Sobre las posibles sanciones que restablecería Departamento de Estado de EE.UU. a Venezuela por los obstáculos que se han puesto en el vecino país para la candidatura de María Corina Machado, Roa dijo que no era un tema de preocupación, porque “esta decisión se enmarca en el levantamiento que hay hoy de esas restricciones. En la medida en que ellas vuelvan a existir, pues nos abstendremos de hacer las transferencias y transacciones”, explicó. Reservas de gas en Colombia, a la baja De acuerdo con el más reciente reporte de la ANH, con datos hasta 2022, Colombia cuenta con 2,81 billones de pies cúbicos de reservas probadas de gas y una expectativa de 7,2 años. Estas cifras son menores a las de un año antes, cuando las reservas eran de 3,1 billones y ocho años de vida útil. En cuanto a las reservas que hay en Venezuela, hasta ahora se firmó un contrato con la Alianza Estratégica para cuantificarlas, pero según cifras de Pdvsa, cuenta con 197,1 billones de pies cúbicos de gas natural en reservas probadas, cifra que la ubica en el octavo lugar a escala mundial.",La República
2024-03-05,Ecopetrol confirmed that it will begin importing gas from PDVSA starting next year,https://www.larepublica.co/economia/ecopetrol-confirmo-que-empezara-a-importar-gas-de-pdvsa-a-partir-del-proximo-ano-3814487,"The president of the state oil company, Ricardo Roa, said that there is a 17% deficit in the current demand for gas in Colombia","El presidente de la estatal petrolera, Ricardo Roa, dijo que hay un déficit de 17% en la demanda actual de gas en Colombia  El presidente de Ecopetrol, Ricardo Roa, anunció que la empresa comenzará a importa gas de la petrolera estatal venezolana Pdvsa a partir del próximo año, ante un déficit de 17% del combustible demandado en Colombia. ARTÍCULO RELACIONADOMorgan Stanley rebajó calificación de Ecopetrol por retos en producción de petróleoRoa confirma los planes de Ecopetrol cuatro meses después de la visita del presidente Gustavo Petro al vecino país, en el que hizo el anuncio de iniciar los acuerdos con el Gobierno de Nicolás Maduro. Aunque en su momento, el plan de importar gas venezolano debía iniciar en diciembre de este año. ARTÍCULO RELACIONADOEcopetrol ve necesario un incremento de entre $2.000 y $3.000 en el galón del diéselLuego de la presentación de los resultados de 2023, en los que Ecopetrol reportó una caída en las ganancias de casi la mitad, Ricardo Roa ya se había referido a este tema y señaló que la compañía está realizando una revisión técnica de un gasoducto binacional de 224 kilómetros, que no opera desde 2015. ARTÍCULO RELACIONADOLa vida media de las reservas de petróleo del Grupo Ecopetrol se ubica en 7,6 años""""El contrato con Pdvsa está activo, por lo que permite la posibilidad de importar hasta 200 millones de pies cúbicos diarios de gas. Estamos supervisando la inspección y seguridad de la tubería para que pueda utilizarse en caso de emergencia. Es una de las cuatro o cinco opciones que tenemos para satisfacer la creciente demanda"", dijo Roa en una conferencia sobre resultados trimestrales. El presidente de Ecopetrol también indicó que Colombia se enfrenta este año a un déficit de gas natural de 31.000 millones de BTU al día en un escenario de demanda promedio. Se espera que el déficit suba a 131.000 millones BTU/d en 2025 y a entre 150.000 y 200.000  millones BTU/d en 2026. Sobre las posibles sanciones que restablecería Departamento de Estado de EE.UU. a Venezuela por los obstáculos que se han puesto en el vecino país para la candidatura de María Corina Machado, Roa dijo que no era un tema de preocupación, porque ""esta decisión se enmarca en el levantamiento que hay hoy de esas restricciones. En la medida en que ellas vuelvan a existir, pues nos abstendremos de hacer las transferencias y transacciones"", añadió.",La República
2024-03-04,Morgan Stanley downgraded Ecopetrol due to oil production challenges,https://www.larepublica.co/economia/morgan-stanley-rebajo-calificacion-de-ecopetrol-por-retos-en-produccion-de-petroleo-3814077,The multinational financial company adjusted its target price due to increasing costs and challenges in domestic oil production,"La financiera multinacional ajustó su precio objetivo debido a crecientes costos y desafíos en la producción de petróleo nacional  Morgan Stanley ha rebajado la calificación de la petrolera Ecopetrol SA (NYSE:EC), de Equalweight a Underweight. Además, ha ajustado su precio objetivo para las acciones de la empresa, reduciéndolo de US$11 a US$8,50. La decisión se tomó debido a la preocupación por el aumento de los costes de producción y los desafíos en la producción de petróleo en Colombia. Morgan Stanley prevé que estos factores podrían dar lugar a menores beneficios para Ecopetrol. Bolsa de Valores de Colombia Según el informe de Morgan Stanley: “Si bien las acciones de Ecopetrol se mantuvieron relativamente estables en 2023, impulsadas por una atractiva rentabilidad por dividendo y una equilibrada relación riesgo-recompensa, las perspectivas han cambiado debido a estos vientos en contra emergentes”. A pesar de que las acciones de la empresa se han visto respaldadas por una fuerte rentabilidad por dividendo en el último año, se espera que el aumento previsto de los costes de producción y las posibles dificultades para mantener los niveles de producción de petróleo en Colombia provoquen revisiones a la baja de los beneficios. La revisión del precio objetivo de Morgan Stanley refleja sus expectativas de que Ecopetrol podría tener dificultades para mantener el reparto de dividendos en los niveles anteriores. Según el analista, hay pocas probabilidades de que la empresa pueda ofrecer dividendos elevados en un futuro próximo. Los inversores de Ecopetrol y los observadores del mercado seguirán de cerca los resultados financieros de la empresa en los próximos meses, especialmente a la luz del análisis de Morgan Stanley y la revisión del precio objetivo, que indica una postura más cautelosa sobre el potencial de la acción.  #ResultadosEcopetrol | A pesar de un entorno retador, logramos el segundo mejor año de la empresa con records en producción y transferencias a la nación. Avanzamos en la protección del negocio tradicional al tiempo que impulsamos la transición energética. #EnergíaQueTransforma https://t.co/J6aHmmesUg — Ecopetrol (@ECOPETROL_SA) March 4, 2024",La República
2024-03-04,"Ecopetrol sees an increase of between $2,000 and $3,000 in the gallon of diesel necessary",https://www.larepublica.co/economia/ecopetrol-preve-un-incremento-en-el-ano-de-entre-2-000-y-3-000-del-galon-del-diesel-3813888,"The president of the oil company, Ricardo Roa, said that the increase in price is needed to continue reducing the Fepc deficit","El presidente de la petrolera, Ricardo Roa, dijo que el aumento en el precio se necesita para continuar reduciendo el déficit del Fepc  El Gobierno Nacional, en cabeza de los ministerios de Hacienda y de Transporte, ha venido sosteniendo varias reuniones con los líderes transportadores para acordar el incremento del diésel, pero hasta el momento no ha logrado ningún consenso. Incluso, el Gobierno no ha presentado una propuesta de alza que se debería iniciar este año. ARTÍCULO RELACIONADOAnalistas aseguran que el precio de la gasolina corriente estaría subsidiando al AcpmAl respecto se refirió el presidente de Ecopetrol, Ricardo Roa, quien destacó el logro de cerrar el déficit del Fondo de Estabilización de los Precios del Combustible, Fepc, con el alza del galón de gasolina, pero alertó que aún se necesita hacer lo propio con los precios del diésel. Para ello, aseguró que se está barajando un incremento de entre $2.000 y $3.000 durante el año. ""La meta sí es que, con un incremento pequeño en el diésel durante el año, entre $2.000 y $3.000 el galón, se puede llegar a ese precio. Son los números que se están analizando”, dijo Roa en una entrevista con Noticias Caracol. ARTÍCULO RELACIONADOLa cita este miércoles es entre Gobierno y transportadores por los precios del AcpmEl presidente de Ecopetrol añadió que ""la premisa depende prácticamente de la política de precios de combustibles que define el Ministerio de Minas, el Ministerio de Hacienda y el Gobierno nacional y, sobre la que defina, Ecopetrol se allanará a la misma y la aplicará"". ARTÍCULO RELACIONADOTodavía no hay acuerdo entre Minhacienda y transportadores sobre precios de AcpmDe acuerdo con el informe del Plan Financiero del Ministerio de Hacienda, durante 2023, el Fepc acumuló una posición neta de $20,5 billones, de los cuales $15,2 billones correspondieron al Acpm, es decir, 74%. Para este año, la cartera económica prevé que dicha posición llegue a $9,5 billones. ""En relación con el Acpm, el Gobierno Nacional está trabajando en una Mesa Técnica con representantes de Transportadores de carga y pasajeros, para llegar a una solución concertada para reducir el subsidio que se otorga al diésel a través del Fepc"", manifestó el Ministerio de Hacienda en el informe del Plan Financiero.",La República
