Date,Close,Open,diff,trend,open1,close2,close3,close4,trend1,trend2,trend3,trend4,diff1,diff2,diff3,diff4,negative_vader,neutral_vader,positive_vader,negative,neutral,positive,title_vader_sentiment,headline_vader_sentiment,finbert_numeric,average_title_vader_10periods,average_headline_vader_10periods,average_finbert_10periods,Topic_1_appeared,Topic_-1_appeared,Topic_4_appeared,Topic_2_appeared,Topic_10_appeared,Topic_16_appeared,Topic_0_appeared,Topic_30_appeared,Topic_38_appeared,Topic_9_appeared,Topic_13_appeared,Topic_33_appeared,Topic_25_appeared,Topic_17_appeared,Topic_14_appeared,Topic_12_appeared,Topic_8_appeared,Topic_18_appeared,Topic_23_appeared,Topic_29_appeared,Topic_31_appeared,Topic_5_appeared,Topic_7_appeared,Topic_11_appeared,Topic_6_appeared,Topic_35_appeared,Topic_34_appeared,Topic_21_appeared,Topic_36_appeared,Topic_15_appeared,Topic_3_appeared,Topic_26_appeared,Topic_22_appeared,Topic_27_appeared,Topic_28_appeared,Topic_37_appeared,Topic_32_appeared,Topic_19_appeared,Topic_20_appeared,Topic_24_appeared
2012-07-08,55.7400016784668,56.130001068115234,-0.6948145060164225,0,55.47999954223633,55.08000183105469,57.52000045776367,59.08000183105469,1,0,1,1,0.7750546299994588,-0.7209764139906429,3.6770024015128424,6.488828980753174,3.0,0.0,0.0,3.0,0.0,0.0,-0.73285,-0.686475,-1.0,,,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-07-15,55.90999984741211,55.47999954223633,0.7750546299994588,1,55.9900016784668,57.52000045776367,59.08000183105469,59.45000076293945,0,1,1,1,-1.625289909148344,2.732628564798378,5.518842757556612,6.179673121537586,0.0,1.0,0.0,0.0,1.0,0.0,-0.5719,0.0,0.0,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-07-22,55.08000183105469,55.9900016784668,-1.625289909148344,0,55.439998626708984,59.08000183105469,59.45000076293945,59.54999923706055,1,1,1,1,3.751807147507067,6.5656625081373665,7.23304876544242,7.413421197978734,2.0,1.0,1.0,0.0,4.0,0.0,0.2879,-0.098,0.0,,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-07-29,57.52000045776367,55.439998626708984,3.751807147507067,1,59.5,59.45000076293945,59.54999923706055,58.900001525878906,0,0,1,0,-0.7058792755383404,-0.08403233119419642,0.08403233119419642,-1.0084007968421742,3.0,2.0,0.0,2.0,3.0,0.0,-0.0420624999999999,-0.2268875,-0.375,,,,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-08-05,59.08000183105469,59.5,-0.7058792755383404,0,58.13999938964844,59.54999923706055,58.900001525878906,57.849998474121094,1,1,1,0,2.2531843602397,2.4251803615655927,1.307193230493538,-0.4987975895627152,1.0,0.0,1.0,1.0,0.0,1.0,-0.24695,0.0443999999999999,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-08-12,59.45000076293945,58.13999938964844,2.2531843602397,1,59.279998779296875,58.900001525878906,57.849998474121094,58.880001068115234,1,0,0,0,0.4554663686294941,-0.6410210209901018,-2.4122812662324122,-0.6747599855237126,0.0,1.0,0.0,0.0,1.0,0.0,0.34,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-08-19,59.54999923706055,59.279998779296875,0.4554663686294941,1,58.959999084472656,57.849998474121094,58.880001068115234,58.97999954223633,0,0,0,1,-0.10175976853017046,-1.8826333575094736,-0.13568184803193062,0.033922079501760155,1.0,0.0,2.0,0.0,2.0,1.0,-0.1734333333333333,0.0962,0.3333333333333333,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-08-26,58.900001525878906,58.959999084472656,-0.10175976853017046,0,58.02000045776367,58.880001068115234,58.97999954223633,59.279998779296875,0,1,1,1,-0.29300582954378473,1.4822485411347244,1.6546002704214018,2.1716620330784613,3.0,0.0,0.0,2.0,0.0,1.0,-0.6781,-0.7026,-0.3333333333333333,,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-09-02,57.849998474121094,58.02000045776367,-0.29300582954378473,0,58.470001220703125,58.97999954223633,59.279998779296875,58.93000030517578,1,1,1,1,0.7012140223231877,0.8722392866183528,1.38532160369948,0.7867266544707704,0.0,0.0,1.0,0.0,0.0,1.0,0.0516,0.4019,1.0,-0.1765795833333333,-0.15326625,-0.0375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-09-09,58.880001068115234,58.470001220703125,0.7012140223231877,1,58.5,59.279998779296875,58.93000030517578,59.5099983215332,1,1,1,1,0.8205120380108174,1.3333312466613247,0.7350432567107372,1.7264928573217146,2.0,0.0,4.0,1.0,4.0,1.0,0.0625,0.1375375,0.0,-0.1703295833333333,-0.1033925,-0.0375,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
