,Unnamed: 0,Date,Title,Link,Headline,Article,Source
0,542,2022-05-20 00:00:00,US$11 million will be invested to strengthen the line of projects of the 2040 Strategy,https://www.larepublica.co/redirect/post/3367840,This initiative is aimed at fulfilling the recommendations made by the International Mission of Wise Men in 2019.,"""The resources open a window of opportunities to strengthen a line of projects framed in our 2040 Strategy 'Energy that transforms', fully responding to current challenges in environmental, social and corporate governance matters, having technology as an enabler of our goals. ”commented Ernesto Gutiérrez de Piñeres, Digital Vice President of Ecopetrol.",La República
1,542,2022-05-20 00:00:00,US$11 million will be invested to strengthen the line of projects of the 2040 Strategy,https://www.larepublica.co/redirect/post/3367840,This initiative is aimed at fulfilling the recommendations made by the International Mission of Wise Men in 2019.,"In its first phase of execution, projects focused on: • Process studies for the generation of low-emission hydrogen, articulated with capacity-building processes",La República
2,542,2022-05-20 00:00:00,US$11 million will be invested to strengthen the line of projects of the 2040 Strategy,https://www.larepublica.co/redirect/post/3367840,This initiative is aimed at fulfilling the recommendations made by the International Mission of Wise Men in 2019.,"• Measurement of carbon capture and other ecosystem services, based on natural SNC climate solutions",La República
3,542,2022-05-20 00:00:00,US$11 million will be invested to strengthen the line of projects of the 2040 Strategy,https://www.larepublica.co/redirect/post/3367840,This initiative is aimed at fulfilling the recommendations made by the International Mission of Wise Men in 2019.,"These must be articulated with processes of capacity building, value generation and have the participation of ethnic or rural communities.",La República
4,542,2022-05-20 00:00:00,US$11 million will be invested to strengthen the line of projects of the 2040 Strategy,https://www.larepublica.co/redirect/post/3367840,This initiative is aimed at fulfilling the recommendations made by the International Mission of Wise Men in 2019.,"Each participating initiative will be able to access resources of up to $1,738 million",La República
5,542,2022-05-20 00:00:00,US$11 million will be invested to strengthen the line of projects of the 2040 Strategy,https://www.larepublica.co/redirect/post/3367840,This initiative is aimed at fulfilling the recommendations made by the International Mission of Wise Men in 2019.,Those interested in participating in this process can consult more information through: https://minciencias.gov.co/convocatorias/innovacion-yproducttividad/convocatoria-para-el-apoyo-proyectos-en-medicion-captura-y,La República
6,542,2022-05-20 00:00:00,US$11 million will be invested to strengthen the line of projects of the 2040 Strategy,https://www.larepublica.co/redirect/post/3367840,This initiative is aimed at fulfilling the recommendations made by the International Mission of Wise Men in 2019.,The deadline for receiving proposals will be next July 10,La República
7,542,2022-05-20 00:00:00,US$11 million will be invested to strengthen the line of projects of the 2040 Strategy,https://www.larepublica.co/redirect/post/3367840,This initiative is aimed at fulfilling the recommendations made by the International Mission of Wise Men in 2019.,"For the second phase, a selection process will be opened in which the list of projects eligible for the transfer of two technologies owned by Ecopetrol will be formed, which are nano fluids for the modification of relative permeability (RPM, for its acronym in Spanish). English) of hydrocarbon, for manufacturing and implementation purposes in the departments of Santander and Meta, and the granting of financing resources in the form of mandatory reimbursement",La República
8,542,2022-05-20 00:00:00,US$11 million will be invested to strengthen the line of projects of the 2040 Strategy,https://www.larepublica.co/redirect/post/3367840,This initiative is aimed at fulfilling the recommendations made by the International Mission of Wise Men in 2019.,This selection mechanism will also be available in the coming days,La República
9,542,2022-05-20 00:00:00,US$11 million will be invested to strengthen the line of projects of the 2040 Strategy,https://www.larepublica.co/redirect/post/3367840,This initiative is aimed at fulfilling the recommendations made by the International Mission of Wise Men in 2019.,"This institutional effort is committed to strengthening the country's capacities in terms of sustainability, climate change mitigation and adaptation to the energy transition.",La República
10,542,2022-05-20 00:00:00,US$11 million will be invested to strengthen the line of projects of the 2040 Strategy,https://www.larepublica.co/redirect/post/3367840,This initiative is aimed at fulfilling the recommendations made by the International Mission of Wise Men in 2019.,"In total, it is planned to allocate resources of US$30 million in the next three years.",La República
11,543,2022-05-19 00:00:00,"Ecopetrol and preferential Bancolombia, the most traded shares in April on the BVC",https://www.larepublica.co/redirect/post/3366271,More than $2.75 billion were negotiated this month. Foreigners and stock brokerage firms were the largest investors,More than $2.75 billion were negotiated this month,La República
12,543,2022-05-19 00:00:00,"Ecopetrol and preferential Bancolombia, the most traded shares in April on the BVC",https://www.larepublica.co/redirect/post/3366271,More than $2.75 billion were negotiated this month. Foreigners and stock brokerage firms were the largest investors,"Foreigners and stock brokerage firms were the largest investors. While the third round of takeover bid filed by Gilinski for Nutresa and Sura was taking place, the most traded stock in April was Ecopetrol, with $616,287 million",La República
13,543,2022-05-19 00:00:00,"Ecopetrol and preferential Bancolombia, the most traded shares in April on the BVC",https://www.larepublica.co/redirect/post/3366271,More than $2.75 billion were negotiated this month. Foreigners and stock brokerage firms were the largest investors,"This species was followed by the preferential one from Bancolombia, with $416,826 million; Inversiones Suramericana, with $212,022 million; and BAC Holding, with $177,623 million",La República
14,543,2022-05-19 00:00:00,"Ecopetrol and preferential Bancolombia, the most traded shares in April on the BVC",https://www.larepublica.co/redirect/post/3366271,More than $2.75 billion were negotiated this month. Foreigners and stock brokerage firms were the largest investors,"RELATED ARTICLEThe effect that an issuance of securities would have on Ecopetrol's stock in the short termForeigners continued to lead negotiations on the Colombian Stock Exchange (BVC) with a 35% participation of the total traded and a monthly net position of $195,851 million",La República
15,543,2022-05-19 00:00:00,"Ecopetrol and preferential Bancolombia, the most traded shares in April on the BVC",https://www.larepublica.co/redirect/post/3366271,More than $2.75 billion were negotiated this month. Foreigners and stock brokerage firms were the largest investors,"At the end of the fourth month of the year, the shares that were purchased the most were Inversiones Suramericana with $96,000 million; followed by Bancolombia's preferential, with $46,000 million; Interconnection Eléctrica S.A., with $25,000 million; Grupo Argos, with $10,000 million and BAC Holding International, with $9,000 million",La República
16,543,2022-05-19 00:00:00,"Ecopetrol and preferential Bancolombia, the most traded shares in April on the BVC",https://www.larepublica.co/redirect/post/3366271,More than $2.75 billion were negotiated this month. Foreigners and stock brokerage firms were the largest investors,"Regarding the negotiations that foreign buyers have carried out throughout the year, the one that has been most attractive to them is the preferred role of Bancolombia, with $500,000 million transacted",La República
17,543,2022-05-19 00:00:00,"Ecopetrol and preferential Bancolombia, the most traded shares in April on the BVC",https://www.larepublica.co/redirect/post/3366271,More than $2.75 billion were negotiated this month. Foreigners and stock brokerage firms were the largest investors,"This is followed by Ecopetrol, with $296,000 million; the common Bancolombia, with $191,000 million; Interconnection Eléctrica S.A., with $189,000 million and the iColcap stock fund, with $48,000 million (see graph)",La República
18,543,2022-05-19 00:00:00,"Ecopetrol and preferential Bancolombia, the most traded shares in April on the BVC",https://www.larepublica.co/redirect/post/3366271,More than $2.75 billion were negotiated this month. Foreigners and stock brokerage firms were the largest investors,"However, according to Sharon Vargas, portfolio analyst for Itaú Comisionista de Bolsa, although positive behavior was evident in April, completely different factors are being seen for May that affect the dynamics that the stock market has had so far.",La República
19,543,2022-05-19 00:00:00,"Ecopetrol and preferential Bancolombia, the most traded shares in April on the BVC",https://www.larepublica.co/redirect/post/3366271,More than $2.75 billion were negotiated this month. Foreigners and stock brokerage firms were the largest investors,THE CONTRASTSSharon VargasPortfolio analyst for Itaú“We are beginning to experience a quite volatile month due to the response of stocks to the decision of central banks to raise interest rates to stop inflation”,La República
20,543,2022-05-19 00:00:00,"Ecopetrol and preferential Bancolombia, the most traded shares in April on the BVC",https://www.larepublica.co/redirect/post/3366271,More than $2.75 billion were negotiated this month. Foreigners and stock brokerage firms were the largest investors,"“This has been a pretty bad month for stocks in general, both in Colombia and in the world",La República
21,543,2022-05-19 00:00:00,"Ecopetrol and preferential Bancolombia, the most traded shares in April on the BVC",https://www.larepublica.co/redirect/post/3366271,More than $2.75 billion were negotiated this month. Foreigners and stock brokerage firms were the largest investors,"“It has been an extremely volatile month, especially due to the response that the securities have had to the decisions of the central banks to raise interest rates to stop inflation, which has made the risk appetite quite low,” Vargas mentioned.",La República
22,543,2022-05-19 00:00:00,"Ecopetrol and preferential Bancolombia, the most traded shares in April on the BVC",https://www.larepublica.co/redirect/post/3366271,More than $2.75 billion were negotiated this month. Foreigners and stock brokerage firms were the largest investors,"RELATED ARTICLE What would a potential public offer for Bancolombia be like on the Stock Exchange? Now it is expected that, with the end of the Cali businessman's purchase offers for two companies of the Antioqueño Business Group (GEA), they will no longer have any influence on the BVC and begin to lead factors such as the presidential elections and the development of the war in Ukraine, which would lead to foreigners becoming the largest sellers of species",La República
23,543,2022-05-19 00:00:00,"Ecopetrol and preferential Bancolombia, the most traded shares in April on the BVC",https://www.larepublica.co/redirect/post/3366271,More than $2.75 billion were negotiated this month. Foreigners and stock brokerage firms were the largest investors,"According to Arnoldo Casas, Investment Director for Credicorp Capital, with current prices, “from now on the largest contributions will come from Ecopetrol thanks to the fact that the stock has not risen enough due to the fear generated by the presidential election""",La República
24,543,2022-05-19 00:00:00,"Ecopetrol and preferential Bancolombia, the most traded shares in April on the BVC",https://www.larepublica.co/redirect/post/3366271,More than $2.75 billion were negotiated this month. Foreigners and stock brokerage firms were the largest investors,"So far in 2022, the securities that have had the most positive variation are Nutresa, Sura, Bolívar and preferential Bancolombia.",La República
25,544,2022-05-18 00:00:00,The effect that an issue of securities in the short term would have on Ecopetrol's stock,https://www.larepublica.co/redirect/post/3366226,"The future placement would be equivalent to $12.62 billion with today's price. The species closed with a drop of 6.26% to $2,892",The future placement would be equivalent to $12.62 billion with today's price,La República
26,544,2022-05-18 00:00:00,The effect that an issue of securities in the short term would have on Ecopetrol's stock,https://www.larepublica.co/redirect/post/3366226,"The future placement would be equivalent to $12.62 billion with today's price. The species closed with a drop of 6.26% to $2,892","The species closed with a drop of 6.26% to $2,892. In October 2021, it was learned that the Financial Superintendency of Colombia (SFC) authorized a public offering of common shares by Ecopetrol",La República
27,544,2022-05-18 00:00:00,The effect that an issue of securities in the short term would have on Ecopetrol's stock,https://www.larepublica.co/redirect/post/3366226,"The future placement would be equivalent to $12.62 billion with today's price. The species closed with a drop of 6.26% to $2,892","The company has a period of five years to carry out this process, which may be carried out in one or more rounds, both in the local and international markets, and would be aimed at natural and legal persons.",La República
28,544,2022-05-18 00:00:00,The effect that an issue of securities in the short term would have on Ecopetrol's stock,https://www.larepublica.co/redirect/post/3366226,"The future placement would be equivalent to $12.62 billion with today's price. The species closed with a drop of 6.26% to $2,892","The future placement of 4,364 million shares, which with today's price on the Colombian Stock Exchange (BVC) would be equivalent to $12.62 billion, would lead to the value of the species in the stock market to decrease substantially due to a greater supply by the issuer",La República
29,544,2022-05-18 00:00:00,The effect that an issue of securities in the short term would have on Ecopetrol's stock,https://www.larepublica.co/redirect/post/3366226,"The future placement would be equivalent to $12.62 billion with today's price. The species closed with a drop of 6.26% to $2,892","In fact, after learning that the state oil company would be accelerating this process by hiring placement agents, the species fell 6.26% to $2,892",La República
30,544,2022-05-18 00:00:00,The effect that an issue of securities in the short term would have on Ecopetrol's stock,https://www.larepublica.co/redirect/post/3366226,"The future placement would be equivalent to $12.62 billion with today's price. The species closed with a drop of 6.26% to $2,892","According to Arnoldo Casa, Investment Director for Credicorp Capital, the announcement has an immediate negative impact on the price.",La República
31,544,2022-05-18 00:00:00,The effect that an issue of securities in the short term would have on Ecopetrol's stock,https://www.larepublica.co/redirect/post/3366226,"The future placement would be equivalent to $12.62 billion with today's price. The species closed with a drop of 6.26% to $2,892",“This placement naturally has corporate governance implications.”,La República
32,544,2022-05-18 00:00:00,The effect that an issue of securities in the short term would have on Ecopetrol's stock,https://www.larepublica.co/redirect/post/3366226,"The future placement would be equivalent to $12.62 billion with today's price. The species closed with a drop of 6.26% to $2,892","“It is a way to improve the balance, understanding that a change of president is coming, and the opportunity to advance the capital structure of the company, complementing in turn the purchase of Interconnection Eléctrica S.A.”",La República
33,544,2022-05-18 00:00:00,The effect that an issue of securities in the short term would have on Ecopetrol's stock,https://www.larepublica.co/redirect/post/3366226,"The future placement would be equivalent to $12.62 billion with today's price. The species closed with a drop of 6.26% to $2,892","The expert added that ""the international panorama is not normal, so they also intend to anticipate the availability of resources",La República
34,544,2022-05-18 00:00:00,The effect that an issue of securities in the short term would have on Ecopetrol's stock,https://www.larepublica.co/redirect/post/3366226,"The future placement would be equivalent to $12.62 billion with today's price. The species closed with a drop of 6.26% to $2,892","However, Ecopetrol will continue to have good profits, which will lead the shares to return to the real value of the company.""",La República
35,544,2022-05-18 00:00:00,The effect that an issue of securities in the short term would have on Ecopetrol's stock,https://www.larepublica.co/redirect/post/3366226,"The future placement would be equivalent to $12.62 billion with today's price. The species closed with a drop of 6.26% to $2,892","In this regard, Bancolombia's Economic, Sectoral and Market Research Directorate decided to underweight its target price for this issuer based on the fact that ""unofficial sources reported that the company would be advancing in the search for underwriters for an alleged issuance of shares in the market."" Colombian",La República
